Compound_Name,CAS_Number,OECD_442C_DPRA_Depletion_%,OECD_442C_Status,OECD_442D_ARE_Nrf2_Fold,OECD_442E_hCLAT_MFI,InVivo_LLNA_EC3_%
Compound_0329,CAS-100987-9,82.2,Positive (>6.38%),10.15,93.3,0.91
Compound_0330,CAS-100990-0,82.3,Positive (>6.38%),0.91,81.4,2.61
Compound_0331,CAS-100993-1,68.2,Positive (>6.38%),1.37,44.0,1.32
Compound_0332,CAS-100996-2,48.8,Positive (>6.38%),7.23,199.3,3.83
Compound_0333,CAS-100999-3,70.2,Positive (>6.38%),10.88,635.2,1.11
Compound_0334,CAS-101002-4,53.6,Positive (>6.38%),1.88,34.8,3.55
Compound_0335,CAS-101005-5,90.0,Positive (>6.38%),1.24,163.6,0.86
Compound_0336,CAS-101008-6,65.3,Positive (>6.38%),2.39,99.4,5.56
Compound_0337,CAS-101011-7,50.3,Positive (>6.38%),3.72,106.5,7.01
Compound_0338,CAS-101014-8,61.4,Positive (>6.38%),1.02,52.8,0.58
Compound_0339,CAS-101017-9,77.6,Positive (>6.38%),4.27,313.9,3.15
Compound_0340,CAS-101020-0,56.1,Positive (>6.38%),0.8,119.5,0.37
Compound_0341,CAS-101023-1,50.4,Positive (>6.38%),0.8,141.1,4.56
Compound_0342,CAS-101026-2,73.9,Positive (>6.38%),1.56,65.4,1.54
Compound_0343,CAS-101029-3,73.9,Positive (>6.38%),1.4,36.1,3.75
Compound_0344,CAS-101032-4,57.3,Positive (>6.38%),1.21,20.0,3.64
Compound_0345,CAS-101035-5,58.1,Positive (>6.38%),2.16,225.4,12.91
Compound_0346,CAS-101038-6,73.6,Positive (>6.38%),1.24,39.3,3.98
Compound_0347,CAS-101041-7,36.6,Positive (>6.38%),0.8,210.9,4.37
Compound_0348,CAS-101044-8,37.5,Positive (>6.38%),1.18,89.1,2.57
Compound_0349,CAS-101047-9,52.7,Positive (>6.38%),11.79,96.7,14.89
Compound_0350,CAS-101050-0,63.8,Positive (>6.38%),1.69,114.0,7.51
Compound_0351,CAS-101053-1,75.3,Positive (>6.38%),1.88,82.5,1.68
Compound_0352,CAS-101056-2,99.9,Positive (>6.38%),2.75,20.0,9.3
Compound_0353,CAS-101059-3,87.4,Positive (>6.38%),13.1,66.7,2.83
Compound_0354,CAS-101062-4,65.0,Positive (>6.38%),0.88,196.2,8.82
Compound_0355,CAS-101065-5,68.1,Positive (>6.38%),3.66,197.3,8.65
Compound_0356,CAS-101068-6,46.4,Positive (>6.38%),4.03,60.7,1.05
Compound_0357,CAS-101071-7,68.1,Positive (>6.38%),2.99,110.9,6.04
Compound_0358,CAS-101074-8,62.1,Positive (>6.38%),0.8,38.7,1.72
Compound_0359,CAS-101077-9,75.6,Positive (>6.38%),3.62,42.5,1.77
Compound_0360,CAS-101080-0,50.3,Positive (>6.38%),0.8,20.0,1.76
Compound_0361,CAS-101083-1,79.9,Positive (>6.38%),2.9,408.7,6.47
Compound_0362,CAS-101086-2,99.9,Positive (>6.38%),4.31,42.6,1.31
Compound_0363,CAS-101089-3,66.1,Positive (>6.38%),0.8,46.5,0.01
Compound_0364,CAS-101092-4,77.3,Positive (>6.38%),5.9,59.0,6.28
Compound_0365,CAS-101095-5,83.7,Positive (>6.38%),0.8,24.5,0.94
Compound_0366,CAS-101098-6,59.7,Positive (>6.38%),5.94,183.5,0.55
Compound_0367,CAS-101101-7,73.4,Positive (>6.38%),1.97,20.0,1.36
Compound_0368,CAS-101104-8,68.8,Positive (>6.38%),0.8,25.9,2.39
Compound_0369,CAS-101107-9,70.6,Positive (>6.38%),0.8,186.3,3.23
Compound_0370,CAS-101110-0,51.5,Positive (>6.38%),9.81,74.7,0.23
Compound_0371,CAS-101113-1,69.0,Positive (>6.38%),0.8,221.5,17.63
Compound_0372,CAS-101116-2,79.5,Positive (>6.38%),0.8,146.7,6.3
Compound_0373,CAS-101119-3,99.9,Positive (>6.38%),1.37,53.2,1.95
Compound_0374,CAS-101122-4,89.6,Positive (>6.38%),3.1,189.4,1.92
Compound_0375,CAS-101125-5,99.9,Positive (>6.38%),2.52,22.2,2.98
Compound_0376,CAS-101128-6,51.6,Positive (>6.38%),0.8,138.4,4.92
Compound_0377,CAS-101131-7,87.7,Positive (>6.38%),1.09,103.5,0.79
Compound_0378,CAS-101134-8,72.5,Positive (>6.38%),0.87,56.1,1.05
Compound_0379,CAS-101137-9,99.9,Positive (>6.38%),0.8,166.7,9.81
Compound_0380,CAS-101140-0,50.7,Positive (>6.38%),1.69,369.1,1.48
Compound_0381,CAS-101143-1,50.0,Positive (>6.38%),3.9,1227.0,2.39
Compound_0382,CAS-101146-2,55.3,Positive (>6.38%),0.8,168.5,10.25
Compound_0383,CAS-101149-3,21.8,Positive (>6.38%),1.46,93.4,5.44
Compound_0384,CAS-101152-4,56.9,Positive (>6.38%),1.59,45.9,2.09
Compound_0385,CAS-101155-5,51.8,Positive (>6.38%),12.0,53.5,5.76
Compound_0386,CAS-101158-6,71.8,Positive (>6.38%),9.9,117.5,0.1
Compound_0387,CAS-101161-7,76.0,Positive (>6.38%),5.15,82.4,6.65
Compound_0388,CAS-101164-8,99.9,Positive (>6.38%),0.89,441.2,3.34
Compound_0389,CAS-101167-9,89.4,Positive (>6.38%),0.8,82.7,8.39
Compound_0390,CAS-101170-0,55.8,Positive (>6.38%),1.22,84.2,15.47
Compound_0391,CAS-101173-1,48.7,Positive (>6.38%),0.99,87.1,13.0
Compound_0392,CAS-101176-2,79.3,Positive (>6.38%),2.26,326.1,12.0
Compound_0393,CAS-101179-3,39.5,Positive (>6.38%),4.81,189.4,3.59
Compound_0394,CAS-101182-4,99.9,Positive (>6.38%),6.25,171.4,2.23
Compound_0395,CAS-101185-5,94.4,Positive (>6.38%),5.96,73.2,3.13
Compound_0396,CAS-101188-6,58.2,Positive (>6.38%),1.43,306.6,5.85
Compound_0397,CAS-101191-7,30.8,Positive (>6.38%),3.72,20.0,10.77
Compound_0398,CAS-101194-8,98.3,Positive (>6.38%),1.2,368.3,1.16
Compound_0399,CAS-101197-9,66.0,Positive (>6.38%),0.8,129.4,12.52
Compound_0400,CAS-101200-0,95.7,Positive (>6.38%),3.87,91.4,8.44
Compound_0401,CAS-101203-1,33.4,Positive (>6.38%),0.8,123.7,19.28
Compound_0402,CAS-101206-2,55.3,Positive (>6.38%),1.68,198.2,10.61
Compound_0403,CAS-101209-3,68.6,Positive (>6.38%),1.28,20.0,1.64
Compound_0404,CAS-101212-4,69.5,Positive (>6.38%),3.78,369.4,0.56
Compound_0405,CAS-101215-5,58.6,Positive (>6.38%),4.65,106.5,0.6
Compound_0406,CAS-101218-6,82.2,Positive (>6.38%),1.16,75.6,1.72
Compound_0407,CAS-101221-7,45.0,Positive (>6.38%),5.34,26.8,4.76
Compound_0408,CAS-101224-8,65.4,Positive (>6.38%),1.11,104.2,8.16
Compound_0409,CAS-101227-9,71.1,Positive (>6.38%),1.89,123.4,11.48
Compound_0410,CAS-101230-0,79.8,Positive (>6.38%),4.15,93.0,4.89
Compound_0411,CAS-101233-1,84.2,Positive (>6.38%),3.78,204.3,0.03
Compound_0412,CAS-101236-2,43.8,Positive (>6.38%),13.99,98.3,1.03
Compound_0413,CAS-101239-3,34.7,Positive (>6.38%),0.82,585.9,0.53
Compound_0414,CAS-101242-4,96.6,Positive (>6.38%),3.47,164.6,2.26
Compound_0415,CAS-101245-5,75.8,Positive (>6.38%),3.01,296.6,3.48
Compound_0416,CAS-101248-6,52.0,Positive (>6.38%),7.89,20.8,0.22
Compound_0417,CAS-101251-7,99.9,Positive (>6.38%),0.8,91.1,2.14
Compound_0418,CAS-101254-8,71.0,Positive (>6.38%),4.46,73.9,0.99
Compound_0419,CAS-101257-9,94.4,Positive (>6.38%),2.69,151.7,5.21
Compound_0420,CAS-101260-0,70.0,Positive (>6.38%),1.03,355.3,3.12
Compound_0421,CAS-101263-1,99.9,Positive (>6.38%),2.06,20.0,3.42
Compound_0422,CAS-101266-2,99.9,Positive (>6.38%),1.3,20.0,2.79
Compound_0423,CAS-101269-3,63.0,Positive (>6.38%),2.77,341.9,15.62
Compound_0424,CAS-101272-4,89.9,Positive (>6.38%),7.03,43.1,1.21
Compound_0425,CAS-101275-5,82.7,Positive (>6.38%),2.7,198.9,3.64
Compound_0426,CAS-101278-6,98.6,Positive (>6.38%),3.2,140.9,6.66
Compound_0427,CAS-101281-7,47.3,Positive (>6.38%),2.34,322.0,4.07
Compound_0428,CAS-101284-8,83.6,Positive (>6.38%),0.8,24.1,13.23
Compound_0429,CAS-101287-9,91.8,Positive (>6.38%),0.85,25.0,2.37
Compound_0430,CAS-101290-0,29.8,Positive (>6.38%),2.17,146.5,3.12
Compound_0431,CAS-101293-1,42.5,Positive (>6.38%),1.19,526.6,0.46
Compound_0432,CAS-101296-2,23.6,Positive (>6.38%),0.8,96.5,4.7
Compound_0433,CAS-101299-3,62.6,Positive (>6.38%),2.24,71.3,1.7
Compound_0434,CAS-101302-4,84.3,Positive (>6.38%),1.25,168.0,0.87
Compound_0435,CAS-101305-5,99.9,Positive (>6.38%),0.96,479.8,3.93
Compound_0436,CAS-101308-6,70.1,Positive (>6.38%),2.0,326.4,3.8
Compound_0437,CAS-101311-7,99.9,Positive (>6.38%),0.8,972.0,0.39
Compound_0438,CAS-101314-8,38.1,Positive (>6.38%),8.41,20.0,5.99
Compound_0439,CAS-101317-9,31.0,Positive (>6.38%),6.47,21.6,4.89
Compound_0440,CAS-101320-0,67.3,Positive (>6.38%),3.94,169.2,1.05
Compound_0441,CAS-101323-1,76.9,Positive (>6.38%),0.8,309.2,3.17
Compound_0442,CAS-101326-2,67.8,Positive (>6.38%),4.79,60.4,6.37
Compound_0443,CAS-101329-3,23.0,Positive (>6.38%),5.28,49.2,3.77
Compound_0444,CAS-101332-4,66.5,Positive (>6.38%),4.67,278.3,2.52
Compound_0445,CAS-101335-5,39.8,Positive (>6.38%),0.8,20.0,1.95
Compound_0446,CAS-101338-6,83.2,Positive (>6.38%),3.3,83.0,4.71
Compound_0447,CAS-101341-7,76.6,Positive (>6.38%),5.75,126.9,13.99
Compound_0448,CAS-101344-8,47.8,Positive (>6.38%),2.76,147.9,5.57
Compound_0449,CAS-101347-9,57.2,Positive (>6.38%),3.33,234.8,0.39
Compound_0450,CAS-101350-0,45.2,Positive (>6.38%),1.96,78.9,3.09
Compound_0451,CAS-101353-1,67.1,Positive (>6.38%),2.41,170.7,11.07
Compound_0452,CAS-101356-2,89.5,Positive (>6.38%),0.8,158.5,0.5
Compound_0453,CAS-101359-3,46.8,Positive (>6.38%),3.26,142.8,22.49
Compound_0454,CAS-101362-4,79.6,Positive (>6.38%),0.8,184.1,14.89
Compound_0455,CAS-101365-5,56.8,Positive (>6.38%),1.83,54.1,0.41
Compound_0456,CAS-101368-6,51.1,Positive (>6.38%),1.11,20.0,13.55
Compound_0457,CAS-101371-7,66.1,Positive (>6.38%),2.52,22.9,2.26
Compound_0458,CAS-101374-8,45.7,Positive (>6.38%),0.8,45.8,9.31
Compound_0459,CAS-101377-9,56.3,Positive (>6.38%),3.76,124.8,2.71
Compound_0460,CAS-101380-0,42.1,Positive (>6.38%),5.07,330.4,2.91
Compound_0461,CAS-101383-1,99.9,Positive (>6.38%),0.8,217.5,5.03
Compound_0462,CAS-101386-2,69.3,Positive (>6.38%),0.8,280.1,7.45
Compound_0463,CAS-101389-3,53.1,Positive (>6.38%),0.8,77.8,0.17
Compound_0464,CAS-101392-4,73.2,Positive (>6.38%),6.71,93.4,4.5
Compound_0465,CAS-101395-5,66.0,Positive (>6.38%),2.4,90.1,1.03
Compound_0466,CAS-101398-6,63.6,Positive (>6.38%),2.02,38.3,2.12
Compound_0467,CAS-101401-7,82.0,Positive (>6.38%),0.8,20.0,2.14
Compound_0468,CAS-101404-8,85.2,Positive (>6.38%),3.36,160.9,3.17
Compound_0469,CAS-101407-9,56.8,Positive (>6.38%),6.48,815.4,2.03
Compound_0470,CAS-101410-0,55.8,Positive (>6.38%),5.64,32.9,0.57
Compound_0471,CAS-101413-1,62.4,Positive (>6.38%),3.15,20.0,0.79
Compound_0472,CAS-101416-2,17.9,Positive (>6.38%),0.8,272.2,0.17
Compound_0473,CAS-101419-3,35.2,Positive (>6.38%),0.8,52.4,3.18
Compound_0474,CAS-101422-4,98.6,Positive (>6.38%),0.8,318.6,15.44
Compound_0475,CAS-101425-5,99.9,Positive (>6.38%),0.95,219.1,0.61
Compound_0476,CAS-101428-6,63.0,Positive (>6.38%),0.8,524.3,14.62
Compound_0477,CAS-101431-7,81.2,Positive (>6.38%),0.96,94.6,6.61
Compound_0478,CAS-101434-8,75.3,Positive (>6.38%),1.56,195.2,5.07
Compound_0479,CAS-101437-9,99.9,Positive (>6.38%),9.17,112.5,5.18
Compound_0480,CAS-101440-0,93.1,Positive (>6.38%),3.02,179.3,8.76
Compound_0481,CAS-101443-1,65.7,Positive (>6.38%),5.77,107.5,0.57
Compound_0482,CAS-101446-2,47.5,Positive (>6.38%),3.97,37.6,3.51
Compound_0483,CAS-101449-3,33.2,Positive (>6.38%),0.8,127.6,5.97
Compound_0484,CAS-101452-4,73.0,Positive (>6.38%),4.26,135.4,4.42
Compound_0485,CAS-101455-5,51.9,Positive (>6.38%),1.03,299.5,8.94
Compound_0486,CAS-101458-6,37.2,Positive (>6.38%),3.26,239.4,0.38
Compound_0487,CAS-101461-7,54.3,Positive (>6.38%),1.33,196.2,5.87
Compound_0488,CAS-101464-8,44.7,Positive (>6.38%),15.5,21.7,3.82
Compound_0489,CAS-101467-9,99.9,Positive (>6.38%),0.98,229.5,2.38
Compound_0490,CAS-101470-0,87.9,Positive (>6.38%),1.05,124.9,2.08
Compound_0491,CAS-101473-1,68.3,Positive (>6.38%),8.54,404.1,4.85
Compound_0492,CAS-101476-2,99.9,Positive (>6.38%),0.8,454.3,11.08
Compound_0493,CAS-101479-3,70.2,Positive (>6.38%),3.82,20.0,3.43
Compound_0494,CAS-101482-4,49.6,Positive (>6.38%),4.13,309.3,8.71
Compound_0495,CAS-101485-5,99.9,Positive (>6.38%),5.79,20.0,2.57
Compound_0496,CAS-101488-6,80.4,Positive (>6.38%),11.73,82.4,0.54
Compound_0497,CAS-101491-7,45.7,Positive (>6.38%),11.88,140.7,0.32
Compound_0498,CAS-101494-8,64.3,Positive (>6.38%),0.8,28.9,0.26
Compound_0499,CAS-101497-9,49.2,Positive (>6.38%),5.52,246.9,2.39
Compound_0500,CAS-101500-0,38.1,Positive (>6.38%),3.33,20.0,2.06
Compound_0501,CAS-101503-1,88.9,Positive (>6.38%),3.34,33.2,6.33
Compound_0502,CAS-101506-2,99.9,Positive (>6.38%),0.8,156.5,6.79
Compound_0503,CAS-101509-3,37.7,Positive (>6.38%),3.36,225.6,0.26
Compound_0504,CAS-101512-4,80.9,Positive (>6.38%),12.94,447.2,1.25
Compound_0505,CAS-101515-5,54.2,Positive (>6.38%),7.77,220.0,1.6
Compound_0506,CAS-101518-6,57.8,Positive (>6.38%),1.85,200.5,3.97
Compound_0507,CAS-101521-7,55.5,Positive (>6.38%),0.8,90.3,0.78
Compound_0508,CAS-101524-8,49.5,Positive (>6.38%),1.44,20.0,0.72
Compound_0509,CAS-101527-9,69.6,Positive (>6.38%),5.6,23.0,14.39
Compound_0510,CAS-101530-0,50.2,Positive (>6.38%),3.87,137.7,8.15
Compound_0511,CAS-101533-1,74.5,Positive (>6.38%),1.97,202.4,1.0
Compound_0512,CAS-101536-2,67.4,Positive (>6.38%),0.8,97.3,2.61
Compound_0513,CAS-101539-3,63.2,Positive (>6.38%),1.78,236.1,2.2
Compound_0514,CAS-101542-4,48.5,Positive (>6.38%),2.03,132.8,7.83
Compound_0515,CAS-101545-5,55.8,Positive (>6.38%),8.44,20.0,3.57
Compound_0516,CAS-101548-6,85.1,Positive (>6.38%),3.28,38.4,0.68
Compound_0517,CAS-101551-7,79.5,Positive (>6.38%),1.2,329.9,6.72
Compound_0518,CAS-101554-8,47.0,Positive (>6.38%),2.38,232.3,2.53
Compound_0519,CAS-101557-9,70.7,Positive (>6.38%),0.8,405.3,1.53
Compound_0520,CAS-101560-0,85.0,Positive (>6.38%),11.51,22.5,2.35
Compound_0521,CAS-101563-1,31.8,Positive (>6.38%),1.43,833.0,3.44
Compound_0522,CAS-101566-2,80.5,Positive (>6.38%),2.08,42.3,2.1
Compound_0523,CAS-101569-3,53.9,Positive (>6.38%),1.4,20.0,1.38
Compound_0524,CAS-101572-4,81.1,Positive (>6.38%),3.67,1073.0,2.54
Compound_0525,CAS-101575-5,51.7,Positive (>6.38%),3.47,59.4,0.1
Compound_0526,CAS-101578-6,28.8,Positive (>6.38%),4.02,198.5,7.4
Compound_0527,CAS-101581-7,32.7,Positive (>6.38%),1.0,35.0,0.94
Compound_0528,CAS-101584-8,69.6,Positive (>6.38%),1.21,156.2,0.22
Compound_0529,CAS-101587-9,74.2,Positive (>6.38%),0.8,421.9,5.3
Compound_0530,CAS-101590-0,48.6,Positive (>6.38%),3.41,69.5,7.43
Compound_0531,CAS-101593-1,82.5,Positive (>6.38%),0.8,199.7,8.41
Compound_0532,CAS-101596-2,31.9,Positive (>6.38%),2.91,37.5,3.4
Compound_0533,CAS-101599-3,67.0,Positive (>6.38%),6.52,176.5,1.15
Compound_0534,CAS-101602-4,41.9,Positive (>6.38%),7.09,73.8,6.68
Compound_0535,CAS-101605-5,54.2,Positive (>6.38%),1.91,42.7,6.02
Compound_0536,CAS-101608-6,69.5,Positive (>6.38%),1.97,67.6,1.41
Compound_0537,CAS-101611-7,49.6,Positive (>6.38%),0.8,35.5,11.69
Compound_0538,CAS-101614-8,60.0,Positive (>6.38%),3.56,417.9,0.55
Compound_0539,CAS-101617-9,90.6,Positive (>6.38%),5.51,91.1,20.28
Compound_0540,CAS-101620-0,55.8,Positive (>6.38%),0.9,50.7,9.84
Compound_0541,CAS-101623-1,86.9,Positive (>6.38%),1.75,107.1,5.82
Compound_0542,CAS-101626-2,43.6,Positive (>6.38%),5.84,69.6,13.96
Compound_0543,CAS-101629-3,80.2,Positive (>6.38%),6.71,245.6,6.41
Compound_0544,CAS-101632-4,99.9,Positive (>6.38%),0.89,638.7,1.06
Compound_0545,CAS-101635-5,14.1,Positive (>6.38%),2.56,103.7,2.92
Compound_0546,CAS-101638-6,51.0,Positive (>6.38%),0.8,355.2,0.37
Compound_0547,CAS-101641-7,81.2,Positive (>6.38%),0.8,150.2,2.47
Compound_0548,CAS-101644-8,64.0,Positive (>6.38%),7.75,30.8,6.77
Compound_0549,CAS-101647-9,76.7,Positive (>6.38%),5.5,211.2,2.44
Compound_0550,CAS-101650-0,55.2,Positive (>6.38%),4.57,129.7,2.0
Compound_0551,CAS-101653-1,70.4,Positive (>6.38%),0.8,189.3,4.52
Compound_0552,CAS-101656-2,65.1,Positive (>6.38%),5.94,396.8,10.29
Compound_0553,CAS-101659-3,94.2,Positive (>6.38%),1.84,104.5,0.24
Compound_0554,CAS-101662-4,74.1,Positive (>6.38%),1.34,416.6,2.43
Compound_0555,CAS-101665-5,75.9,Positive (>6.38%),2.53,250.0,0.86
Compound_0556,CAS-101668-6,59.4,Positive (>6.38%),0.8,120.7,5.94
Compound_0557,CAS-101671-7,57.8,Positive (>6.38%),4.52,166.4,0.56
Compound_0558,CAS-101674-8,59.0,Positive (>6.38%),2.79,70.9,5.47
Compound_0559,CAS-101677-9,77.2,Positive (>6.38%),0.8,739.9,1.69
Compound_0560,CAS-101680-0,59.2,Positive (>6.38%),0.8,198.1,1.11
Compound_0561,CAS-101683-1,74.9,Positive (>6.38%),0.8,20.0,13.77
Compound_0562,CAS-101686-2,99.9,Positive (>6.38%),0.8,71.2,0.09
Compound_0563,CAS-101689-3,87.7,Positive (>6.38%),2.84,175.7,2.88
Compound_0564,CAS-101692-4,61.3,Positive (>6.38%),5.87,20.0,0.11
Compound_0565,CAS-101695-5,94.9,Positive (>6.38%),0.8,20.0,3.3
Compound_0566,CAS-101698-6,59.5,Positive (>6.38%),0.8,107.6,3.48
Compound_0567,CAS-101701-7,23.7,Positive (>6.38%),2.72,72.8,1.94
Compound_0568,CAS-101704-8,46.3,Positive (>6.38%),5.48,103.8,0.71
Compound_0569,CAS-101707-9,27.3,Positive (>6.38%),1.27,54.9,2.36
Compound_0570,CAS-101710-0,60.8,Positive (>6.38%),1.38,32.4,5.58
Compound_0571,CAS-101713-1,68.9,Positive (>6.38%),2.9,210.3,7.63
Compound_0572,CAS-101716-2,99.9,Positive (>6.38%),1.03,130.1,3.78
Compound_0573,CAS-101719-3,75.7,Positive (>6.38%),0.8,40.2,4.46
Compound_0574,CAS-101722-4,63.7,Positive (>6.38%),4.25,69.3,1.12
Compound_0575,CAS-101725-5,86.7,Positive (>6.38%),3.14,161.3,1.69
Compound_0576,CAS-101728-6,19.9,Positive (>6.38%),2.78,20.0,0.88
Compound_0577,CAS-101731-7,73.7,Positive (>6.38%),4.33,28.7,1.43
Compound_0578,CAS-101734-8,85.5,Positive (>6.38%),3.6,20.0,1.27
Compound_0579,CAS-101737-9,36.0,Positive (>6.38%),0.8,301.1,3.66
Compound_0580,CAS-101740-0,93.7,Positive (>6.38%),1.39,251.3,4.14
Compound_0581,CAS-101743-1,75.9,Positive (>6.38%),0.8,251.9,14.5
Compound_0582,CAS-101746-2,59.4,Positive (>6.38%),0.8,226.8,1.09
Compound_0583,CAS-101749-3,82.4,Positive (>6.38%),3.61,199.2,5.13
Compound_0584,CAS-101752-4,99.9,Positive (>6.38%),6.26,116.7,8.5
Compound_0585,CAS-101755-5,72.5,Positive (>6.38%),10.53,185.0,4.11
Compound_0586,CAS-101758-6,74.0,Positive (>6.38%),3.17,20.0,1.47
Compound_0587,CAS-101761-7,58.4,Positive (>6.38%),0.8,174.9,1.52
Compound_0588,CAS-101764-8,49.8,Positive (>6.38%),0.8,270.8,0.2
Compound_0589,CAS-101767-9,86.8,Positive (>6.38%),5.36,124.9,1.82
Compound_0590,CAS-101770-0,49.7,Positive (>6.38%),2.77,79.6,6.82
Compound_0591,CAS-101773-1,70.1,Positive (>6.38%),3.08,58.5,0.24
Compound_0592,CAS-101776-2,58.0,Positive (>6.38%),4.87,185.3,1.24
Compound_0593,CAS-101779-3,79.0,Positive (>6.38%),3.89,212.4,6.12
Compound_0594,CAS-101782-4,75.8,Positive (>6.38%),5.76,368.6,7.63
Compound_0595,CAS-101785-5,91.3,Positive (>6.38%),0.8,75.4,3.04
Compound_0596,CAS-101788-6,57.3,Positive (>6.38%),4.4,264.4,5.99
Compound_0597,CAS-101791-7,62.6,Positive (>6.38%),6.09,148.3,2.45
Compound_0598,CAS-101794-8,47.0,Positive (>6.38%),1.08,386.0,0.87
Compound_0599,CAS-101797-9,58.7,Positive (>6.38%),3.27,135.1,2.54
Compound_0600,CAS-101800-0,76.8,Positive (>6.38%),1.21,131.2,4.34
Compound_0601,CAS-101803-1,85.2,Positive (>6.38%),10.14,155.2,14.79
Compound_0602,CAS-101806-2,48.2,Positive (>6.38%),0.8,249.0,0.36
Compound_0603,CAS-101809-3,87.6,Positive (>6.38%),2.77,601.8,3.54
Compound_0604,CAS-101812-4,98.3,Positive (>6.38%),0.8,20.0,1.99
Compound_0605,CAS-101815-5,77.6,Positive (>6.38%),3.99,20.0,3.55
Compound_0606,CAS-101818-6,99.9,Positive (>6.38%),0.8,499.2,0.12
Compound_0607,CAS-101821-7,51.5,Positive (>6.38%),0.86,135.9,1.88
Compound_0608,CAS-101824-8,41.1,Positive (>6.38%),2.18,171.8,8.57
Compound_0609,CAS-101827-9,29.4,Positive (>6.38%),7.88,118.5,4.04
Compound_0610,CAS-101830-0,99.9,Positive (>6.38%),0.8,20.0,2.99
Compound_0611,CAS-101833-1,82.9,Positive (>6.38%),0.8,263.1,1.68
Compound_0612,CAS-101836-2,67.3,Positive (>6.38%),4.55,247.5,1.77
Compound_0613,CAS-101839-3,74.7,Positive (>6.38%),2.22,67.2,2.42
Compound_0614,CAS-101842-4,43.7,Positive (>6.38%),7.77,65.8,9.03
Compound_0615,CAS-101845-5,99.9,Positive (>6.38%),0.8,327.5,17.09
Compound_0616,CAS-101848-6,71.3,Positive (>6.38%),3.32,20.0,2.89
Compound_0617,CAS-101851-7,70.9,Positive (>6.38%),0.85,383.3,2.5
Compound_0618,CAS-101854-8,84.5,Positive (>6.38%),0.8,53.4,9.37
Compound_0619,CAS-101857-9,79.1,Positive (>6.38%),3.68,161.8,2.78
Compound_0620,CAS-101860-0,73.4,Positive (>6.38%),2.88,494.8,4.02
Compound_0621,CAS-101863-1,51.1,Positive (>6.38%),4.5,204.0,1.31
Compound_0622,CAS-101866-2,78.9,Positive (>6.38%),1.18,96.3,6.8
Compound_0623,CAS-101869-3,99.9,Positive (>6.38%),1.9,210.5,3.8
Compound_0624,CAS-101872-4,98.1,Positive (>6.38%),1.66,75.9,8.28
Compound_0625,CAS-101875-5,99.9,Positive (>6.38%),13.25,58.4,7.59
Compound_0626,CAS-101878-6,57.3,Positive (>6.38%),1.11,1027.6,1.21
Compound_0627,CAS-101881-7,46.7,Positive (>6.38%),1.12,250.1,6.29
Compound_0628,CAS-101884-8,65.7,Positive (>6.38%),1.4,186.3,8.05
Compound_0629,CAS-101887-9,69.7,Positive (>6.38%),2.66,79.0,2.12
Compound_0630,CAS-101890-0,92.6,Positive (>6.38%),0.93,20.0,0.95
Compound_0631,CAS-101893-1,31.3,Positive (>6.38%),7.9,20.0,0.01
Compound_0632,CAS-101896-2,99.9,Positive (>6.38%),0.99,145.4,3.0
Compound_0633,CAS-101899-3,65.0,Positive (>6.38%),7.24,258.4,2.17
Compound_0634,CAS-101902-4,59.1,Positive (>6.38%),0.8,138.8,4.05
Compound_0635,CAS-101905-5,46.2,Positive (>6.38%),3.42,330.8,1.04
Compound_0636,CAS-101908-6,32.1,Positive (>6.38%),7.6,20.0,9.82
Compound_0637,CAS-101911-7,86.6,Positive (>6.38%),0.8,82.2,1.49
Compound_0638,CAS-101914-8,70.1,Positive (>6.38%),11.05,48.7,1.28
Compound_0639,CAS-101917-9,40.1,Positive (>6.38%),1.93,106.7,3.28
Compound_0640,CAS-101920-0,40.0,Positive (>6.38%),9.32,20.0,3.45
Compound_0641,CAS-101923-1,61.1,Positive (>6.38%),3.61,554.8,1.21
Compound_0642,CAS-101926-2,99.9,Positive (>6.38%),1.15,45.5,1.59
Compound_0643,CAS-101929-3,62.8,Positive (>6.38%),0.8,459.9,0.93
Compound_0644,CAS-101932-4,35.4,Positive (>6.38%),1.16,99.9,6.34
Compound_0645,CAS-101935-5,63.1,Positive (>6.38%),0.8,762.3,7.35
Compound_0646,CAS-101938-6,62.5,Positive (>6.38%),0.8,145.4,3.1
Compound_0647,CAS-101941-7,9.2,Positive (>6.38%),0.8,480.8,6.26
Compound_0648,CAS-101944-8,67.3,Positive (>6.38%),1.76,20.0,6.66
Compound_0649,CAS-101947-9,63.4,Positive (>6.38%),5.08,248.3,0.74
Compound_0650,CAS-101950-0,83.8,Positive (>6.38%),0.8,420.0,16.93
Compound_0651,CAS-101953-1,99.9,Positive (>6.38%),0.8,27.1,8.6
Compound_0652,CAS-101956-2,93.3,Positive (>6.38%),3.3,20.0,1.14
Compound_0653,CAS-101959-3,62.6,Positive (>6.38%),0.8,99.5,1.03
Compound_0654,CAS-101962-4,44.2,Positive (>6.38%),0.8,488.4,0.67
Compound_0655,CAS-101965-5,99.9,Positive (>6.38%),0.8,140.7,0.74
Compound_0656,CAS-101968-6,69.8,Positive (>6.38%),8.24,134.9,6.89
Compound_0657,CAS-101971-7,68.8,Positive (>6.38%),5.51,27.4,3.17
Compound_0658,CAS-101974-8,68.0,Positive (>6.38%),1.4,20.0,7.64
