Compound_Name_CAS,SMILES_Structure,DPRA_Depletion_%,KeratinoSens_EC150_uM,Docking_DeltaG_kcal,Bayesian_Probability_%,Regulatory_Classification
Benchmark_Compound_0190 (CAS 200190-0),O=CC=CC1=CC=CC=C1,30.6,270.5,-3.47,37.3,Non-Sensitizer
Benchmark_Compound_0191 (CAS 200191-1),O=CC=CC1=CC=CC=C1,17.9,758.8,-3.26,53.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0192 (CAS 200192-2),O=CC=CC1=CC=CC=C1,86.3,604.0,-6.7,46.4,Non-Sensitizer
Benchmark_Compound_0193 (CAS 200193-3),O=CC=CC1=CC=CC=C1,86.5,228.1,-6.55,87.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0194 (CAS 200194-4),O=CC=CC1=CC=CC=C1,63.8,557.6,-5.72,52.5,Non-Sensitizer
Benchmark_Compound_0195 (CAS 200195-5),O=CC=CC1=CC=CC=C1,38.8,111.6,-3.32,52.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0196 (CAS 200196-6),O=CC=CC1=CC=CC=C1,39.7,48.5,-3.68,18.0,Non-Sensitizer
Benchmark_Compound_0197 (CAS 200197-7),O=CC=CC1=CC=CC=C1,71.7,211.4,-7.94,97.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0198 (CAS 200198-8),O=CC=CC1=CC=CC=C1,86.3,1445.0,-6.34,28.5,Non-Sensitizer
Benchmark_Compound_0199 (CAS 200199-9),O=CC=CC1=CC=CC=C1,85.4,828.8,-5.46,11.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0200 (CAS 200200-0),O=CC=CC1=CC=CC=C1,76.3,1449.1,-5.73,67.3,Non-Sensitizer
Benchmark_Compound_0201 (CAS 200201-1),O=CC=CC1=CC=CC=C1,64.6,654.4,-7.43,61.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0202 (CAS 200202-2),O=CC=CC1=CC=CC=C1,17.2,474.6,-3.78,44.0,Non-Sensitizer
Benchmark_Compound_0203 (CAS 200203-3),O=CC=CC1=CC=CC=C1,23.7,764.2,-4.78,44.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0204 (CAS 200204-4),O=CC=CC1=CC=CC=C1,86.4,664.9,-3.89,78.8,Non-Sensitizer
Benchmark_Compound_0205 (CAS 200205-5),O=CC=CC1=CC=CC=C1,61.5,167.4,-3.78,23.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0206 (CAS 200206-6),O=CC=CC1=CC=CC=C1,10.8,964.8,-4.38,82.1,Non-Sensitizer
Benchmark_Compound_0207 (CAS 200207-7),O=CC=CC1=CC=CC=C1,18.6,331.9,-6.08,66.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0208 (CAS 200208-8),O=CC=CC1=CC=CC=C1,66.4,933.2,-5.14,44.4,Non-Sensitizer
Benchmark_Compound_0209 (CAS 200209-9),O=CC=CC1=CC=CC=C1,10.4,978.8,-7.62,48.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0210 (CAS 200210-0),O=CC=CC1=CC=CC=C1,23.7,236.5,-4.79,29.1,Non-Sensitizer
Benchmark_Compound_0211 (CAS 200211-1),O=CC=CC1=CC=CC=C1,56.6,101.4,-7.51,75.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0212 (CAS 200212-2),O=CC=CC1=CC=CC=C1,68.8,1173.3,-4.68,53.2,Non-Sensitizer
Benchmark_Compound_0213 (CAS 200213-3),O=CC=CC1=CC=CC=C1,65.4,695.1,-7.24,35.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0214 (CAS 200214-4),O=CC=CC1=CC=CC=C1,29.1,96.7,-7.85,61.0,Non-Sensitizer
Benchmark_Compound_0215 (CAS 200215-5),O=CC=CC1=CC=CC=C1,70.5,1492.4,-7.59,98.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0216 (CAS 200216-6),O=CC=CC1=CC=CC=C1,30.2,96.1,-8.49,45.9,Non-Sensitizer
Benchmark_Compound_0217 (CAS 200217-7),O=CC=CC1=CC=CC=C1,37.7,1045.6,-4.55,91.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0218 (CAS 200218-8),O=CC=CC1=CC=CC=C1,73.5,1475.7,-4.47,37.4,Non-Sensitizer
Benchmark_Compound_0219 (CAS 200219-9),O=CC=CC1=CC=CC=C1,65.2,366.4,-5.67,10.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0220 (CAS 200220-0),O=CC=CC1=CC=CC=C1,82.2,222.0,-7.61,24.2,Non-Sensitizer
Benchmark_Compound_0221 (CAS 200221-1),O=CC=CC1=CC=CC=C1,65.9,190.9,-8.04,44.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0222 (CAS 200222-2),O=CC=CC1=CC=CC=C1,58.3,461.9,-8.39,25.6,Non-Sensitizer
Benchmark_Compound_0223 (CAS 200223-3),O=CC=CC1=CC=CC=C1,18.0,160.6,-7.59,5.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0224 (CAS 200224-4),O=CC=CC1=CC=CC=C1,41.3,1041.3,-3.6,91.0,Non-Sensitizer
Benchmark_Compound_0225 (CAS 200225-5),O=CC=CC1=CC=CC=C1,32.5,102.8,-7.17,84.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0226 (CAS 200226-6),O=CC=CC1=CC=CC=C1,30.7,769.0,-6.55,74.8,Non-Sensitizer
Benchmark_Compound_0227 (CAS 200227-7),O=CC=CC1=CC=CC=C1,92.7,1495.1,-7.92,20.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0228 (CAS 200228-8),O=CC=CC1=CC=CC=C1,43.4,1222.8,-7.28,16.3,Non-Sensitizer
Benchmark_Compound_0229 (CAS 200229-9),O=CC=CC1=CC=CC=C1,85.8,926.7,-5.64,11.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0230 (CAS 200230-0),O=CC=CC1=CC=CC=C1,63.6,466.3,-5.16,73.1,Non-Sensitizer
Benchmark_Compound_0231 (CAS 200231-1),O=CC=CC1=CC=CC=C1,77.6,939.6,-7.15,92.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0232 (CAS 200232-2),O=CC=CC1=CC=CC=C1,52.7,795.3,-8.18,45.5,Non-Sensitizer
Benchmark_Compound_0233 (CAS 200233-3),O=CC=CC1=CC=CC=C1,59.0,644.9,-6.35,16.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0234 (CAS 200234-4),O=CC=CC1=CC=CC=C1,51.9,204.8,-7.21,53.2,Non-Sensitizer
Benchmark_Compound_0235 (CAS 200235-5),O=CC=CC1=CC=CC=C1,26.6,1331.0,-7.29,37.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0236 (CAS 200236-6),O=CC=CC1=CC=CC=C1,71.4,680.2,-3.22,40.2,Non-Sensitizer
Benchmark_Compound_0237 (CAS 200237-7),O=CC=CC1=CC=CC=C1,33.9,300.0,-5.11,63.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0238 (CAS 200238-8),O=CC=CC1=CC=CC=C1,12.1,558.0,-5.44,72.6,Non-Sensitizer
Benchmark_Compound_0239 (CAS 200239-9),O=CC=CC1=CC=CC=C1,64.9,627.1,-6.21,15.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0240 (CAS 200240-0),O=CC=CC1=CC=CC=C1,25.1,1243.0,-6.14,8.3,Non-Sensitizer
Benchmark_Compound_0241 (CAS 200241-1),O=CC=CC1=CC=CC=C1,89.9,1103.1,-5.53,98.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0242 (CAS 200242-2),O=CC=CC1=CC=CC=C1,91.1,1156.3,-4.67,26.9,Non-Sensitizer
Benchmark_Compound_0243 (CAS 200243-3),O=CC=CC1=CC=CC=C1,87.8,26.4,-4.64,10.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0244 (CAS 200244-4),O=CC=CC1=CC=CC=C1,41.5,630.1,-7.56,22.8,Non-Sensitizer
Benchmark_Compound_0245 (CAS 200245-5),O=CC=CC1=CC=CC=C1,11.3,727.2,-5.75,8.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0246 (CAS 200246-6),O=CC=CC1=CC=CC=C1,88.9,38.6,-6.23,41.8,Non-Sensitizer
Benchmark_Compound_0247 (CAS 200247-7),O=CC=CC1=CC=CC=C1,46.4,397.1,-3.71,80.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0248 (CAS 200248-8),O=CC=CC1=CC=CC=C1,92.2,1142.8,-5.03,37.1,Non-Sensitizer
Benchmark_Compound_0249 (CAS 200249-9),O=CC=CC1=CC=CC=C1,91.9,214.3,-5.57,46.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0250 (CAS 200250-0),O=CC=CC1=CC=CC=C1,82.5,807.6,-7.87,68.5,Non-Sensitizer
Benchmark_Compound_0251 (CAS 200251-1),O=CC=CC1=CC=CC=C1,35.0,330.7,-5.17,52.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0252 (CAS 200252-2),O=CC=CC1=CC=CC=C1,42.7,28.1,-7.86,86.0,Non-Sensitizer
Benchmark_Compound_0253 (CAS 200253-3),O=CC=CC1=CC=CC=C1,82.3,369.4,-6.65,86.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0254 (CAS 200254-4),O=CC=CC1=CC=CC=C1,36.9,1464.1,-7.71,5.9,Non-Sensitizer
Benchmark_Compound_0255 (CAS 200255-5),O=CC=CC1=CC=CC=C1,24.4,1204.3,-4.69,78.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0256 (CAS 200256-6),O=CC=CC1=CC=CC=C1,57.3,1439.8,-7.37,48.3,Non-Sensitizer
Benchmark_Compound_0257 (CAS 200257-7),O=CC=CC1=CC=CC=C1,89.6,736.9,-6.34,98.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0258 (CAS 200258-8),O=CC=CC1=CC=CC=C1,69.2,173.5,-3.57,50.4,Non-Sensitizer
Benchmark_Compound_0259 (CAS 200259-9),O=CC=CC1=CC=CC=C1,58.5,826.5,-7.38,97.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0260 (CAS 200260-0),O=CC=CC1=CC=CC=C1,18.3,687.0,-5.71,75.9,Non-Sensitizer
Benchmark_Compound_0261 (CAS 200261-1),O=CC=CC1=CC=CC=C1,62.3,1268.1,-6.19,28.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0262 (CAS 200262-2),O=CC=CC1=CC=CC=C1,94.2,156.1,-8.4,55.6,Non-Sensitizer
Benchmark_Compound_0263 (CAS 200263-3),O=CC=CC1=CC=CC=C1,21.9,737.5,-4.14,98.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0264 (CAS 200264-4),O=CC=CC1=CC=CC=C1,54.1,233.6,-8.12,85.6,Non-Sensitizer
Benchmark_Compound_0265 (CAS 200265-5),O=CC=CC1=CC=CC=C1,84.6,493.8,-5.89,14.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0266 (CAS 200266-6),O=CC=CC1=CC=CC=C1,73.0,1108.7,-5.42,71.4,Non-Sensitizer
Benchmark_Compound_0267 (CAS 200267-7),O=CC=CC1=CC=CC=C1,69.2,719.3,-5.04,37.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0268 (CAS 200268-8),O=CC=CC1=CC=CC=C1,69.7,570.1,-4.71,5.7,Non-Sensitizer
Benchmark_Compound_0269 (CAS 200269-9),O=CC=CC1=CC=CC=C1,40.6,597.8,-7.11,42.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0270 (CAS 200270-0),O=CC=CC1=CC=CC=C1,35.0,694.6,-8.45,27.1,Non-Sensitizer
Benchmark_Compound_0271 (CAS 200271-1),O=CC=CC1=CC=CC=C1,78.8,1179.7,-4.52,82.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0272 (CAS 200272-2),O=CC=CC1=CC=CC=C1,78.9,1339.2,-5.55,36.7,Non-Sensitizer
Benchmark_Compound_0273 (CAS 200273-3),O=CC=CC1=CC=CC=C1,83.7,1433.4,-3.9,82.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0274 (CAS 200274-4),O=CC=CC1=CC=CC=C1,87.6,1182.5,-3.98,5.1,Non-Sensitizer
Benchmark_Compound_0275 (CAS 200275-5),O=CC=CC1=CC=CC=C1,53.5,480.0,-3.86,33.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0276 (CAS 200276-6),O=CC=CC1=CC=CC=C1,52.6,1035.3,-5.83,27.7,Non-Sensitizer
Benchmark_Compound_0277 (CAS 200277-7),O=CC=CC1=CC=CC=C1,77.9,662.0,-6.67,27.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0278 (CAS 200278-8),O=CC=CC1=CC=CC=C1,65.2,389.5,-4.15,11.4,Non-Sensitizer
Benchmark_Compound_0279 (CAS 200279-9),O=CC=CC1=CC=CC=C1,69.7,1262.9,-6.02,22.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0280 (CAS 200280-0),O=CC=CC1=CC=CC=C1,77.6,67.3,-7.49,57.2,Non-Sensitizer
Benchmark_Compound_0281 (CAS 200281-1),O=CC=CC1=CC=CC=C1,85.7,1353.6,-3.8,32.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0282 (CAS 200282-2),O=CC=CC1=CC=CC=C1,38.7,697.6,-3.65,44.2,Non-Sensitizer
Benchmark_Compound_0283 (CAS 200283-3),O=CC=CC1=CC=CC=C1,41.9,959.4,-5.94,40.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0284 (CAS 200284-4),O=CC=CC1=CC=CC=C1,18.0,992.4,-8.08,87.3,Non-Sensitizer
Benchmark_Compound_0285 (CAS 200285-5),O=CC=CC1=CC=CC=C1,59.2,1343.7,-6.37,90.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0286 (CAS 200286-6),O=CC=CC1=CC=CC=C1,13.1,958.6,-4.08,51.3,Non-Sensitizer
Benchmark_Compound_0287 (CAS 200287-7),O=CC=CC1=CC=CC=C1,49.6,924.8,-3.54,36.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0288 (CAS 200288-8),O=CC=CC1=CC=CC=C1,56.1,109.3,-7.38,15.0,Non-Sensitizer
Benchmark_Compound_0289 (CAS 200289-9),O=CC=CC1=CC=CC=C1,34.4,782.4,-8.13,94.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0290 (CAS 200290-0),O=CC=CC1=CC=CC=C1,60.2,233.8,-3.67,10.7,Non-Sensitizer
Benchmark_Compound_0291 (CAS 200291-1),O=CC=CC1=CC=CC=C1,12.6,1108.8,-6.36,33.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0292 (CAS 200292-2),O=CC=CC1=CC=CC=C1,13.2,773.2,-5.52,33.0,Non-Sensitizer
Benchmark_Compound_0293 (CAS 200293-3),O=CC=CC1=CC=CC=C1,79.9,1023.5,-3.18,35.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0294 (CAS 200294-4),O=CC=CC1=CC=CC=C1,40.6,72.1,-8.13,20.4,Non-Sensitizer
Benchmark_Compound_0295 (CAS 200295-5),O=CC=CC1=CC=CC=C1,20.8,136.3,-4.93,78.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0296 (CAS 200296-6),O=CC=CC1=CC=CC=C1,54.4,1077.3,-8.09,16.5,Non-Sensitizer
Benchmark_Compound_0297 (CAS 200297-7),O=CC=CC1=CC=CC=C1,75.4,117.4,-6.43,64.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0298 (CAS 200298-8),O=CC=CC1=CC=CC=C1,28.3,116.2,-4.08,16.6,Non-Sensitizer
Benchmark_Compound_0299 (CAS 200299-9),O=CC=CC1=CC=CC=C1,62.9,28.0,-6.12,11.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0300 (CAS 200300-0),O=CC=CC1=CC=CC=C1,17.3,1435.2,-3.02,90.5,Non-Sensitizer
Benchmark_Compound_0301 (CAS 200301-1),O=CC=CC1=CC=CC=C1,14.4,1108.9,-5.43,22.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0302 (CAS 200302-2),O=CC=CC1=CC=CC=C1,55.2,536.3,-6.73,82.2,Non-Sensitizer
Benchmark_Compound_0303 (CAS 200303-3),O=CC=CC1=CC=CC=C1,56.0,451.8,-7.29,56.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0304 (CAS 200304-4),O=CC=CC1=CC=CC=C1,64.2,531.1,-6.57,12.3,Non-Sensitizer
Benchmark_Compound_0305 (CAS 200305-5),O=CC=CC1=CC=CC=C1,71.7,1164.2,-6.45,94.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0306 (CAS 200306-6),O=CC=CC1=CC=CC=C1,92.9,995.4,-8.12,28.2,Non-Sensitizer
Benchmark_Compound_0307 (CAS 200307-7),O=CC=CC1=CC=CC=C1,53.9,285.9,-6.47,85.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0308 (CAS 200308-8),O=CC=CC1=CC=CC=C1,37.5,269.4,-5.95,20.9,Non-Sensitizer
Benchmark_Compound_0309 (CAS 200309-9),O=CC=CC1=CC=CC=C1,77.6,156.6,-4.52,85.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0310 (CAS 200310-0),O=CC=CC1=CC=CC=C1,33.0,993.9,-4.89,6.2,Non-Sensitizer
Benchmark_Compound_0311 (CAS 200311-1),O=CC=CC1=CC=CC=C1,47.3,1148.9,-4.6,53.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0312 (CAS 200312-2),O=CC=CC1=CC=CC=C1,16.7,404.9,-8.45,77.3,Non-Sensitizer
Benchmark_Compound_0313 (CAS 200313-3),O=CC=CC1=CC=CC=C1,12.2,41.2,-7.3,92.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0314 (CAS 200314-4),O=CC=CC1=CC=CC=C1,91.8,132.4,-4.86,90.5,Non-Sensitizer
Benchmark_Compound_0315 (CAS 200315-5),O=CC=CC1=CC=CC=C1,81.1,1452.1,-5.84,82.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0316 (CAS 200316-6),O=CC=CC1=CC=CC=C1,69.2,450.2,-8.47,88.5,Non-Sensitizer
Benchmark_Compound_0317 (CAS 200317-7),O=CC=CC1=CC=CC=C1,44.8,1156.1,-4.08,23.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0318 (CAS 200318-8),O=CC=CC1=CC=CC=C1,24.7,940.7,-4.25,31.7,Non-Sensitizer
Benchmark_Compound_0319 (CAS 200319-9),O=CC=CC1=CC=CC=C1,23.3,579.1,-5.48,32.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0320 (CAS 200320-0),O=CC=CC1=CC=CC=C1,31.3,316.5,-8.13,40.4,Non-Sensitizer
Benchmark_Compound_0321 (CAS 200321-1),O=CC=CC1=CC=CC=C1,56.7,190.9,-4.28,42.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0322 (CAS 200322-2),O=CC=CC1=CC=CC=C1,70.7,926.4,-5.29,56.2,Non-Sensitizer
Benchmark_Compound_0323 (CAS 200323-3),O=CC=CC1=CC=CC=C1,66.1,1164.2,-4.2,20.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0324 (CAS 200324-4),O=CC=CC1=CC=CC=C1,33.8,969.4,-4.37,70.0,Non-Sensitizer
Benchmark_Compound_0325 (CAS 200325-5),O=CC=CC1=CC=CC=C1,91.2,800.2,-4.08,20.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0326 (CAS 200326-6),O=CC=CC1=CC=CC=C1,72.7,72.5,-5.65,34.2,Non-Sensitizer
Benchmark_Compound_0327 (CAS 200327-7),O=CC=CC1=CC=CC=C1,57.1,1453.0,-7.73,52.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0328 (CAS 200328-8),O=CC=CC1=CC=CC=C1,62.0,1200.1,-4.81,79.9,Non-Sensitizer
Benchmark_Compound_0329 (CAS 200329-9),O=CC=CC1=CC=CC=C1,45.7,446.3,-5.09,74.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0330 (CAS 200330-0),O=CC=CC1=CC=CC=C1,31.1,1470.2,-4.42,65.7,Non-Sensitizer
Benchmark_Compound_0331 (CAS 200331-1),O=CC=CC1=CC=CC=C1,40.3,906.8,-7.57,19.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0332 (CAS 200332-2),O=CC=CC1=CC=CC=C1,74.4,877.8,-7.43,56.4,Non-Sensitizer
Benchmark_Compound_0333 (CAS 200333-3),O=CC=CC1=CC=CC=C1,11.2,1124.6,-3.6,13.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0334 (CAS 200334-4),O=CC=CC1=CC=CC=C1,19.9,1219.5,-4.38,40.5,Non-Sensitizer
Benchmark_Compound_0335 (CAS 200335-5),O=CC=CC1=CC=CC=C1,13.9,988.2,-3.5,43.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0336 (CAS 200336-6),O=CC=CC1=CC=CC=C1,13.5,200.9,-4.33,8.7,Non-Sensitizer
Benchmark_Compound_0337 (CAS 200337-7),O=CC=CC1=CC=CC=C1,82.7,514.0,-5.22,30.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0338 (CAS 200338-8),O=CC=CC1=CC=CC=C1,69.8,1392.8,-4.9,94.8,Non-Sensitizer
Benchmark_Compound_0339 (CAS 200339-9),O=CC=CC1=CC=CC=C1,50.3,344.7,-3.61,94.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0340 (CAS 200340-0),O=CC=CC1=CC=CC=C1,18.3,564.5,-5.32,38.1,Non-Sensitizer
Benchmark_Compound_0341 (CAS 200341-1),O=CC=CC1=CC=CC=C1,51.8,653.8,-5.02,9.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0342 (CAS 200342-2),O=CC=CC1=CC=CC=C1,50.2,664.7,-7.64,21.8,Non-Sensitizer
Benchmark_Compound_0343 (CAS 200343-3),O=CC=CC1=CC=CC=C1,24.7,923.3,-5.89,41.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0344 (CAS 200344-4),O=CC=CC1=CC=CC=C1,46.9,1415.2,-4.56,94.1,Non-Sensitizer
Benchmark_Compound_0345 (CAS 200345-5),O=CC=CC1=CC=CC=C1,43.9,368.6,-7.01,18.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0346 (CAS 200346-6),O=CC=CC1=CC=CC=C1,62.3,191.0,-7.39,76.8,Non-Sensitizer
Benchmark_Compound_0347 (CAS 200347-7),O=CC=CC1=CC=CC=C1,64.0,304.2,-6.77,15.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0348 (CAS 200348-8),O=CC=CC1=CC=CC=C1,13.9,1331.5,-7.17,97.2,Non-Sensitizer
Benchmark_Compound_0349 (CAS 200349-9),O=CC=CC1=CC=CC=C1,41.8,972.3,-7.32,40.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0350 (CAS 200350-0),O=CC=CC1=CC=CC=C1,63.2,436.0,-6.16,77.9,Non-Sensitizer
Benchmark_Compound_0351 (CAS 200351-1),O=CC=CC1=CC=CC=C1,52.8,1225.8,-3.51,37.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0352 (CAS 200352-2),O=CC=CC1=CC=CC=C1,82.8,1293.4,-5.71,64.0,Non-Sensitizer
Benchmark_Compound_0353 (CAS 200353-3),O=CC=CC1=CC=CC=C1,66.0,1271.3,-7.47,23.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0354 (CAS 200354-4),O=CC=CC1=CC=CC=C1,23.8,1379.2,-8.08,18.7,Non-Sensitizer
Benchmark_Compound_0355 (CAS 200355-5),O=CC=CC1=CC=CC=C1,16.0,385.8,-4.67,93.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0356 (CAS 200356-6),O=CC=CC1=CC=CC=C1,64.6,1135.0,-6.39,91.3,Non-Sensitizer
Benchmark_Compound_0357 (CAS 200357-7),O=CC=CC1=CC=CC=C1,12.3,696.2,-3.98,88.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0358 (CAS 200358-8),O=CC=CC1=CC=CC=C1,59.8,1264.6,-4.87,63.8,Non-Sensitizer
Benchmark_Compound_0359 (CAS 200359-9),O=CC=CC1=CC=CC=C1,89.9,1095.5,-4.12,81.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0360 (CAS 200360-0),O=CC=CC1=CC=CC=C1,58.9,1166.9,-7.0,11.5,Non-Sensitizer
Benchmark_Compound_0361 (CAS 200361-1),O=CC=CC1=CC=CC=C1,43.0,987.7,-4.69,36.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0362 (CAS 200362-2),O=CC=CC1=CC=CC=C1,64.7,274.4,-7.05,34.5,Non-Sensitizer
Benchmark_Compound_0363 (CAS 200363-3),O=CC=CC1=CC=CC=C1,49.0,822.1,-3.34,64.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0364 (CAS 200364-4),O=CC=CC1=CC=CC=C1,56.4,1477.2,-5.0,38.5,Non-Sensitizer
Benchmark_Compound_0365 (CAS 200365-5),O=CC=CC1=CC=CC=C1,90.0,1406.7,-6.72,19.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0366 (CAS 200366-6),O=CC=CC1=CC=CC=C1,42.8,74.3,-7.02,61.1,Non-Sensitizer
Benchmark_Compound_0367 (CAS 200367-7),O=CC=CC1=CC=CC=C1,91.7,255.6,-7.45,81.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0368 (CAS 200368-8),O=CC=CC1=CC=CC=C1,87.0,206.3,-4.68,40.9,Non-Sensitizer
Benchmark_Compound_0369 (CAS 200369-9),O=CC=CC1=CC=CC=C1,26.6,1091.7,-7.3,17.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0370 (CAS 200370-0),O=CC=CC1=CC=CC=C1,15.9,1228.5,-5.23,23.5,Non-Sensitizer
Benchmark_Compound_0371 (CAS 200371-1),O=CC=CC1=CC=CC=C1,18.6,328.1,-7.04,27.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0372 (CAS 200372-2),O=CC=CC1=CC=CC=C1,11.5,763.7,-4.86,33.2,Non-Sensitizer
Benchmark_Compound_0373 (CAS 200373-3),O=CC=CC1=CC=CC=C1,18.0,1262.6,-4.02,65.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0374 (CAS 200374-4),O=CC=CC1=CC=CC=C1,68.1,1101.9,-4.22,61.5,Non-Sensitizer
Benchmark_Compound_0375 (CAS 200375-5),O=CC=CC1=CC=CC=C1,16.1,817.9,-4.32,70.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0376 (CAS 200376-6),O=CC=CC1=CC=CC=C1,37.1,889.6,-7.47,39.1,Non-Sensitizer
Benchmark_Compound_0377 (CAS 200377-7),O=CC=CC1=CC=CC=C1,81.8,767.5,-8.01,82.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0378 (CAS 200378-8),O=CC=CC1=CC=CC=C1,12.0,453.3,-4.66,24.2,Non-Sensitizer
Benchmark_Compound_0379 (CAS 200379-9),O=CC=CC1=CC=CC=C1,79.2,851.9,-6.47,49.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0380 (CAS 200380-0),O=CC=CC1=CC=CC=C1,34.0,1036.4,-6.12,80.3,Non-Sensitizer
