Compound Name,CAS,Experimental Hazard,Predicted GHS,ED01 (ug/cm2),AD Status
Test_Substance_275,625-93-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,31.05,In-Domain
Test_Substance_276,354-53-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,210.59,In-Domain
Test_Substance_277,383-11-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,440.74,In-Domain
Test_Substance_278,168-44-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,471.48,Out-of-Domain (Expert Review)
Test_Substance_279,740-87-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,4.88,In-Domain
Test_Substance_280,266-59-8,Non-Sensitizer (NC),Not Classified,1947.68,Out-of-Domain (Expert Review)
Test_Substance_281,477-47-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,164.48,In-Domain
Test_Substance_282,795-17-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,7.07,In-Domain
Test_Substance_283,407-14-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,36.68,In-Domain
Test_Substance_284,476-83-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,33.25,In-Domain
Test_Substance_285,637-81-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,41.63,In-Domain
Test_Substance_286,703-62-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,354.46,In-Domain
Test_Substance_287,753-79-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,206.92,In-Domain
Test_Substance_288,806-86-8,Non-Sensitizer (NC),Not Classified,1990.01,In-Domain
Test_Substance_289,693-28-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,32.7,In-Domain
Test_Substance_290,414-84-0,Non-Sensitizer (NC),Not Classified,1816.85,In-Domain
Test_Substance_291,704-74-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,27.45,Out-of-Domain (Expert Review)
Test_Substance_292,466-58-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,221.25,In-Domain
Test_Substance_293,671-87-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,56.7,In-Domain
Test_Substance_294,865-75-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,220.97,In-Domain
Test_Substance_295,182-57-4,Non-Sensitizer (NC),Not Classified,1720.67,In-Domain
Test_Substance_296,392-79-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,24.1,In-Domain
Test_Substance_297,668-89-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,284.6,In-Domain
Test_Substance_298,832-77-4,Non-Sensitizer (NC),Not Classified,865.3,In-Domain
Test_Substance_299,422-61-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,137.63,In-Domain
Test_Substance_300,51-58-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,90.42,In-Domain
Test_Substance_301,157-83-6,Non-Sensitizer (NC),Not Classified,1283.77,In-Domain
Test_Substance_302,494-51-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,369.1,In-Domain
Test_Substance_303,434-53-7,Non-Sensitizer (NC),Not Classified,1225.37,In-Domain
Test_Substance_304,167-30-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,100.63,Out-of-Domain (Expert Review)
Test_Substance_305,427-51-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,407.21,In-Domain
Test_Substance_306,629-59-7,Non-Sensitizer (NC),Not Classified,1335.0,In-Domain
Test_Substance_307,195-28-3,Non-Sensitizer (NC),Not Classified,1135.67,In-Domain
Test_Substance_308,610-42-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,21.49,In-Domain
Test_Substance_309,468-80-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,130.38,In-Domain
Test_Substance_310,819-73-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,317.55,In-Domain
Test_Substance_311,686-48-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,354.16,In-Domain
Test_Substance_312,580-77-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,496.07,In-Domain
Test_Substance_313,793-45-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,173.44,In-Domain
Test_Substance_314,757-22-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,215.19,In-Domain
Test_Substance_315,209-30-7,Non-Sensitizer (NC),Not Classified,1504.44,In-Domain
Test_Substance_316,430-67-2,Non-Sensitizer (NC),Not Classified,1476.35,In-Domain
Test_Substance_317,663-90-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,3.09,In-Domain
Test_Substance_318,861-67-3,Non-Sensitizer (NC),Not Classified,1197.86,In-Domain
Test_Substance_319,360-89-8,Non-Sensitizer (NC),Not Classified,1452.48,In-Domain
Test_Substance_320,697-93-2,Non-Sensitizer (NC),Not Classified,501.95,In-Domain
Test_Substance_321,153-14-3,Non-Sensitizer (NC),Not Classified,852.04,In-Domain
Test_Substance_322,198-93-5,Non-Sensitizer (NC),Not Classified,1309.98,In-Domain
Test_Substance_323,833-85-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,39.5,In-Domain
Test_Substance_324,712-75-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,3.62,In-Domain
Test_Substance_325,892-76-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,46.88,In-Domain
Test_Substance_326,311-44-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,47.15,In-Domain
Test_Substance_327,539-21-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,496.47,In-Domain
Test_Substance_328,265-39-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,40.96,In-Domain
Test_Substance_329,448-30-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,10.99,In-Domain
Test_Substance_330,837-91-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,34.9,In-Domain
Test_Substance_331,144-23-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,265.76,In-Domain
Test_Substance_332,532-50-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,394.19,In-Domain
Test_Substance_333,586-88-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,18.69,In-Domain
Test_Substance_334,141-22-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,38.95,In-Domain
Test_Substance_335,92-11-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,97.64,In-Domain
Test_Substance_336,827-98-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,3.54,In-Domain
Test_Substance_337,512-82-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,389.44,In-Domain
Test_Substance_338,239-16-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,7.54,In-Domain
Test_Substance_339,408-61-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,498.51,In-Domain
Test_Substance_340,534-72-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,431.62,In-Domain
Test_Substance_341,790-95-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,236.42,In-Domain
Test_Substance_342,295-88-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,21.1,In-Domain
Test_Substance_343,114-22-4,Non-Sensitizer (NC),Not Classified,705.75,In-Domain
Test_Substance_344,222-41-3,Non-Sensitizer (NC),Not Classified,1443.99,In-Domain
Test_Substance_345,357-64-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,169.71,In-Domain
Test_Substance_346,813-91-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,117.61,In-Domain
Test_Substance_347,603-30-0,Non-Sensitizer (NC),Not Classified,1421.16,In-Domain
Test_Substance_348,178-11-0,Non-Sensitizer (NC),Not Classified,1680.38,In-Domain
Test_Substance_349,838-37-6,Non-Sensitizer (NC),Not Classified,557.74,In-Domain
Test_Substance_350,128-26-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,452.81,In-Domain
Test_Substance_351,498-96-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,117.66,In-Domain
Test_Substance_352,434-60-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,2.38,In-Domain
Test_Substance_353,281-67-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,2.26,In-Domain
Test_Substance_354,589-60-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,398.62,In-Domain
Test_Substance_355,187-47-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,423.76,In-Domain
Test_Substance_356,512-59-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,38.58,In-Domain
Test_Substance_357,218-98-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,30.94,In-Domain
Test_Substance_358,701-11-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,48.44,In-Domain
Test_Substance_359,337-20-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,464.14,In-Domain
Test_Substance_360,876-87-8,Non-Sensitizer (NC),Not Classified,837.0,In-Domain
Test_Substance_361,221-41-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,14.05,In-Domain
Test_Substance_362,593-48-0,Non-Sensitizer (NC),Not Classified,1468.75,In-Domain
Test_Substance_363,710-17-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,27.43,In-Domain
Test_Substance_364,305-95-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,131.35,Out-of-Domain (Expert Review)
Test_Substance_365,515-11-4,Non-Sensitizer (NC),Not Classified,1906.09,Out-of-Domain (Expert Review)
Test_Substance_366,456-97-5,Non-Sensitizer (NC),Not Classified,1726.7,In-Domain
Test_Substance_367,752-28-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,315.7,In-Domain
Test_Substance_368,177-17-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,443.01,In-Domain
Test_Substance_369,153-73-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,36.46,In-Domain
Test_Substance_370,280-36-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,27.98,In-Domain
Test_Substance_371,647-67-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,402.73,In-Domain
Test_Substance_372,486-29-2,Non-Sensitizer (NC),Not Classified,516.65,In-Domain
Test_Substance_373,747-13-3,Non-Sensitizer (NC),Not Classified,1205.53,In-Domain
Test_Substance_374,854-94-5,Non-Sensitizer (NC),Not Classified,1829.31,In-Domain
Test_Substance_375,821-69-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,51.55,In-Domain
Test_Substance_376,270-23-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,231.11,In-Domain
Test_Substance_377,815-33-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,29.21,In-Domain
Test_Substance_378,866-72-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,321.01,Out-of-Domain (Expert Review)
Test_Substance_379,166-40-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,17.04,In-Domain
Test_Substance_380,232-64-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,248.15,In-Domain
Test_Substance_381,812-56-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,11.42,In-Domain
Test_Substance_382,309-29-5,Non-Sensitizer (NC),Not Classified,1463.88,In-Domain
Test_Substance_383,651-25-4,Non-Sensitizer (NC),Not Classified,1620.85,In-Domain
Test_Substance_384,668-79-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,18.43,In-Domain
Test_Substance_385,596-55-2,Non-Sensitizer (NC),Not Classified,1673.89,In-Domain
Test_Substance_386,123-73-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,257.83,In-Domain
Test_Substance_387,344-44-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,334.06,Out-of-Domain (Expert Review)
Test_Substance_388,735-69-8,Non-Sensitizer (NC),Not Classified,510.64,In-Domain
Test_Substance_389,457-39-5,Non-Sensitizer (NC),Not Classified,1485.47,In-Domain
Test_Substance_390,681-19-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,12.73,In-Domain
Test_Substance_391,890-54-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,430.17,In-Domain
Test_Substance_392,490-30-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,3.6,In-Domain
Test_Substance_393,448-91-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,397.36,In-Domain
Test_Substance_394,475-35-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,107.68,In-Domain
Test_Substance_395,131-78-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,36.68,In-Domain
Test_Substance_396,420-98-4,Non-Sensitizer (NC),Not Classified,786.87,In-Domain
Test_Substance_397,227-77-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,207.34,In-Domain
Test_Substance_398,622-70-1,Non-Sensitizer (NC),Not Classified,1341.88,In-Domain
Test_Substance_399,226-26-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,294.19,In-Domain
Test_Substance_400,566-11-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,23.19,In-Domain
Test_Substance_401,484-48-5,Non-Sensitizer (NC),Not Classified,1503.57,In-Domain
Test_Substance_402,620-19-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,39.46,In-Domain
Test_Substance_403,440-30-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,39.42,In-Domain
Test_Substance_404,704-94-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,391.32,In-Domain
Test_Substance_405,729-67-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,13.15,In-Domain
Test_Substance_406,93-51-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,3.73,In-Domain
Test_Substance_407,428-59-2,Non-Sensitizer (NC),Not Classified,1057.96,In-Domain
Test_Substance_408,57-33-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,138.1,In-Domain
Test_Substance_409,608-24-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,335.6,In-Domain
Test_Substance_410,435-16-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,251.48,In-Domain
Test_Substance_411,535-42-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,453.74,In-Domain
Test_Substance_412,737-13-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,18.5,In-Domain
Test_Substance_413,863-25-0,Non-Sensitizer (NC),Not Classified,1785.33,In-Domain
Test_Substance_414,318-43-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,492.85,In-Domain
Test_Substance_415,689-36-4,Non-Sensitizer (NC),Not Classified,1969.68,In-Domain
Test_Substance_416,715-14-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,287.38,In-Domain
Test_Substance_417,483-15-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,42.98,In-Domain
Test_Substance_418,413-82-4,Non-Sensitizer (NC),Not Classified,1982.1,In-Domain
Test_Substance_419,847-30-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,41.05,In-Domain
Test_Substance_420,595-50-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,36.09,In-Domain
Test_Substance_421,225-31-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,387.0,In-Domain
Test_Substance_422,338-93-1,Non-Sensitizer (NC),Not Classified,1206.98,In-Domain
Test_Substance_423,503-82-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,358.88,In-Domain
Test_Substance_424,240-76-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,41.93,In-Domain
Test_Substance_425,582-66-4,Non-Sensitizer (NC),Not Classified,823.37,In-Domain
Test_Substance_426,450-48-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,391.69,In-Domain
Test_Substance_427,786-15-6,Non-Sensitizer (NC),Not Classified,1497.51,In-Domain
Test_Substance_428,191-81-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,19.79,In-Domain
Test_Substance_429,330-49-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,411.08,In-Domain
Test_Substance_430,132-60-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,48.33,In-Domain
Test_Substance_431,376-87-8,Non-Sensitizer (NC),Not Classified,1707.38,Out-of-Domain (Expert Review)
Test_Substance_432,447-47-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,423.24,In-Domain
Test_Substance_433,369-42-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,93.53,In-Domain
Test_Substance_434,383-50-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,41.31,In-Domain
Test_Substance_435,686-95-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,43.92,In-Domain
Test_Substance_436,111-57-2,Non-Sensitizer (NC),Not Classified,1439.3,In-Domain
Test_Substance_437,710-78-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,39.56,In-Domain
Test_Substance_438,250-70-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,24.67,In-Domain
Test_Substance_439,114-17-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,423.2,In-Domain
Test_Substance_440,608-24-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,192.69,In-Domain
Test_Substance_441,582-60-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,124.25,In-Domain
Test_Substance_442,504-37-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,366.21,In-Domain
Test_Substance_443,243-97-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,269.5,In-Domain
Test_Substance_444,311-95-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,492.73,In-Domain
Test_Substance_445,332-17-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,2.47,In-Domain
Test_Substance_446,802-49-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,48.59,In-Domain
Test_Substance_447,750-58-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,263.48,In-Domain
Test_Substance_448,651-48-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,2.32,In-Domain
Test_Substance_449,871-18-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,148.41,In-Domain
Test_Substance_450,868-68-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,31.04,In-Domain
Test_Substance_451,543-28-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,63.45,In-Domain
Test_Substance_452,158-21-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,378.46,In-Domain
Test_Substance_453,569-34-6,Non-Sensitizer (NC),Not Classified,1932.6,In-Domain
Test_Substance_454,899-27-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,423.33,Out-of-Domain (Expert Review)
Test_Substance_455,534-28-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,410.18,In-Domain
Test_Substance_456,704-50-6,Non-Sensitizer (NC),Not Classified,606.6,In-Domain
Test_Substance_457,868-84-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,340.78,In-Domain
Test_Substance_458,820-93-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,6.23,In-Domain
Test_Substance_459,399-49-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,45.17,In-Domain
Test_Substance_460,882-64-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,21.39,In-Domain
Test_Substance_461,328-33-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,28.15,In-Domain
Test_Substance_462,469-54-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,19.68,In-Domain
Test_Substance_463,413-41-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,437.8,In-Domain
Test_Substance_464,72-84-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,310.71,In-Domain
Test_Substance_465,339-65-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,19.95,In-Domain
Test_Substance_466,608-29-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,70.25,In-Domain
Test_Substance_467,476-20-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,32.47,In-Domain
Test_Substance_468,737-65-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,42.43,In-Domain
Test_Substance_469,886-39-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,359.75,In-Domain
Test_Substance_470,715-36-5,Non-Sensitizer (NC),Not Classified,1297.92,In-Domain
Test_Substance_471,311-68-4,Non-Sensitizer (NC),Not Classified,1121.28,In-Domain
Test_Substance_472,219-44-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,45.05,In-Domain
Test_Substance_473,846-86-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,497.69,In-Domain
Test_Substance_474,118-46-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,48.55,In-Domain
Test_Substance_475,428-96-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,293.81,In-Domain
Test_Substance_476,811-94-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,422.08,In-Domain
Test_Substance_477,653-72-7,Non-Sensitizer (NC),Not Classified,1336.61,In-Domain
Test_Substance_478,484-26-2,Non-Sensitizer (NC),Not Classified,725.87,In-Domain
Test_Substance_479,811-28-4,Non-Sensitizer (NC),Not Classified,1435.15,In-Domain
Test_Substance_480,662-45-5,Non-Sensitizer (NC),Not Classified,722.06,In-Domain
Test_Substance_481,316-63-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,48.22,In-Domain
Test_Substance_482,233-29-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,39.63,In-Domain
Test_Substance_483,196-35-3,Non-Sensitizer (NC),Not Classified,1916.07,In-Domain
Test_Substance_484,151-84-0,Non-Sensitizer (NC),Not Classified,1383.14,In-Domain
Test_Substance_485,753-90-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,248.61,In-Domain
Test_Substance_486,736-13-6,Non-Sensitizer (NC),Not Classified,1184.02,In-Domain
Test_Substance_487,165-54-0,Non-Sensitizer (NC),Not Classified,800.79,In-Domain
Test_Substance_488,624-47-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,184.37,In-Domain
Test_Substance_489,336-89-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,279.74,In-Domain
Test_Substance_490,615-19-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,359.51,In-Domain
Test_Substance_491,745-39-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,412.02,In-Domain
Test_Substance_492,843-80-6,Non-Sensitizer (NC),Not Classified,1985.82,In-Domain
Test_Substance_493,598-22-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,17.42,In-Domain
Test_Substance_494,306-45-2,Non-Sensitizer (NC),Not Classified,1732.91,In-Domain
Test_Substance_495,433-13-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,89.96,In-Domain
Test_Substance_496,734-43-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,297.15,In-Domain
Test_Substance_497,424-43-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,184.87,In-Domain
Test_Substance_498,160-40-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,4.11,In-Domain
Test_Substance_499,616-36-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,40.27,In-Domain
Test_Substance_500,282-39-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,264.45,In-Domain
Test_Substance_501,330-95-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,11.12,In-Domain
Test_Substance_502,533-81-5,Non-Sensitizer (NC),Not Classified,1800.41,In-Domain
Test_Substance_503,461-62-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,34.29,In-Domain
Test_Substance_504,108-96-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,28.38,In-Domain
Test_Substance_505,899-84-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,25.09,In-Domain
Test_Substance_506,203-27-5,Non-Sensitizer (NC),Not Classified,976.45,Out-of-Domain (Expert Review)
Test_Substance_507,439-78-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,78.3,In-Domain
Test_Substance_508,668-28-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,46.58,In-Domain
Test_Substance_509,868-22-2,Non-Sensitizer (NC),Not Classified,970.09,In-Domain
Test_Substance_510,470-26-6,Non-Sensitizer (NC),Not Classified,1066.04,In-Domain
Test_Substance_511,681-64-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,224.5,In-Domain
Test_Substance_512,585-20-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,43.84,In-Domain
Test_Substance_513,772-21-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,474.8,In-Domain
Test_Substance_514,589-50-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,18.32,In-Domain
Test_Substance_515,285-80-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,144.08,In-Domain
Test_Substance_516,577-18-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,27.83,In-Domain
Test_Substance_517,149-96-1,Non-Sensitizer (NC),Not Classified,1595.77,In-Domain
Test_Substance_518,52-37-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,468.87,In-Domain
Test_Substance_519,487-74-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,227.87,In-Domain
Test_Substance_520,98-63-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,2.63,In-Domain
Test_Substance_521,726-33-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,41.86,Out-of-Domain (Expert Review)
Test_Substance_522,436-26-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,6.66,In-Domain
Test_Substance_523,427-69-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,36.38,In-Domain
Test_Substance_524,514-67-5,Non-Sensitizer (NC),Not Classified,1182.43,In-Domain
Test_Substance_525,723-46-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,38.62,In-Domain
Test_Substance_526,104-67-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,199.51,In-Domain
Test_Substance_527,604-86-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,217.35,Out-of-Domain (Expert Review)
Test_Substance_528,825-96-8,Non-Sensitizer (NC),Not Classified,1513.4,In-Domain
Test_Substance_529,665-76-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,10.75,In-Domain
Test_Substance_530,173-96-3,Non-Sensitizer (NC),Not Classified,1404.98,In-Domain
Test_Substance_531,657-93-1,Non-Sensitizer (NC),Not Classified,1914.09,In-Domain
Test_Substance_532,578-68-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,302.63,In-Domain
Test_Substance_533,350-92-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,31.31,In-Domain
Test_Substance_534,540-74-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,457.9,In-Domain
Test_Substance_535,618-56-8,Non-Sensitizer (NC),Not Classified,1006.08,In-Domain
Test_Substance_536,645-61-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,360.57,In-Domain
Test_Substance_537,787-24-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,110.51,In-Domain
Test_Substance_538,495-91-2,Non-Sensitizer (NC),Not Classified,1431.4,In-Domain
Test_Substance_539,284-42-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,22.55,In-Domain
Test_Substance_540,717-79-8,Non-Sensitizer (NC),Not Classified,1689.73,In-Domain
Test_Substance_541,881-68-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,47.6,In-Domain
Test_Substance_542,360-91-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,23.22,In-Domain
Test_Substance_543,403-26-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,39.73,In-Domain
Test_Substance_544,411-17-3,Non-Sensitizer (NC),Not Classified,1950.58,In-Domain
Test_Substance_545,236-93-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,32.21,In-Domain
Test_Substance_546,470-83-3,Non-Sensitizer (NC),Not Classified,1782.82,In-Domain
Test_Substance_547,220-94-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,466.79,In-Domain
Test_Substance_548,652-31-4,Non-Sensitizer (NC),Not Classified,766.91,In-Domain
Test_Substance_549,222-19-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,20.44,In-Domain
Test_Substance_550,548-10-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,20.19,In-Domain
